src,exam_type,subject,chapter,chunks,sort_order,is_active
knowledge_base,CBSE Class 10,Mathematics,Areas Related to Circles,7,,
knowledge_base,CBSE Class 10,Mathematics,Arithmetic Progressions,29,,
knowledge_base,CBSE Class 10,Mathematics,Circles,11,,
knowledge_base,CBSE Class 10,Mathematics,Coordinate Geometry,16,,
knowledge_base,CBSE Class 10,Mathematics,Introduction to Trigonometry,26,,
knowledge_base,CBSE Class 10,Mathematics,Pair of Linear Equations in Two Variables,18,,
knowledge_base,CBSE Class 10,Mathematics,Polynomials,12,,
knowledge_base,CBSE Class 10,Mathematics,Probability — A Theoretical Approach,25,,
knowledge_base,CBSE Class 10,Mathematics,Quadratic Equations,15,,
knowledge_base,CBSE Class 10,Mathematics,Real Numbers,16,,
knowledge_base,CBSE Class 10,Mathematics,Some Applications of Trigonometry,10,,
knowledge_base,CBSE Class 10,Mathematics,Statistics,28,,
knowledge_base,CBSE Class 10,Mathematics,Surface Areas and Volumes,15,,
knowledge_base,CBSE Class 10,Mathematics,Triangles,26,,
syllabus_nodes,CBSE Class 10,Mathematics,Real Numbers,,1,true
syllabus_nodes,CBSE Class 10,Mathematics,Polynomials,,2,true
syllabus_nodes,CBSE Class 10,Mathematics,Pair of Linear Equations in Two Variables,,3,true
syllabus_nodes,CBSE Class 10,Mathematics,Quadratic Equations,,4,true
syllabus_nodes,CBSE Class 10,Mathematics,Arithmetic Progressions,,5,true
syllabus_nodes,CBSE Class 10,Mathematics,Triangles,,6,true
syllabus_nodes,CBSE Class 10,Mathematics,Coordinate Geometry,,7,true
syllabus_nodes,CBSE Class 10,Mathematics,Introduction to Trigonometry,,8,true
syllabus_nodes,CBSE Class 10,Mathematics,Some Applications of Trigonometry,,9,true
syllabus_nodes,CBSE Class 10,Mathematics,Circles,,10,true
syllabus_nodes,CBSE Class 10,Mathematics,Areas Related to Circles,,11,true
syllabus_nodes,CBSE Class 10,Mathematics,Surface Areas and Volumes,,12,true
syllabus_nodes,CBSE Class 10,Mathematics,Statistics,,13,true
syllabus_nodes,CBSE Class 10,Mathematics,Probability — A Theoretical Approach,,14,true
knowledge_base,CBSE Class 10,Science,"Acids, Bases and Salts",32,,
knowledge_base,CBSE Class 10,Science,Carbon and its Compounds,28,,
knowledge_base,CBSE Class 10,Science,Chemical Reactions and Equations,26,,
knowledge_base,CBSE Class 10,Science,Control and Coordination,16,,
knowledge_base,CBSE Class 10,Science,Electricity,41,,
knowledge_base,CBSE Class 10,Science,Heredity,10,,
knowledge_base,CBSE Class 10,Science,How do Organisms Reproduce?,29,,
knowledge_base,CBSE Class 10,Science,Life Processes,35,,
knowledge_base,CBSE Class 10,Science,Light – Reflection and Refraction,41,,
knowledge_base,CBSE Class 10,Science,Magnetic Effects of Electric Current,20,,
knowledge_base,CBSE Class 10,Science,Metals and Non-metals,31,,
knowledge_base,CBSE Class 10,Science,Our Environment,15,,
knowledge_base,CBSE Class 10,Science,The Human Eye and the Colourful World,21,,
syllabus_nodes,CBSE Class 10,Science,Chemical Reactions and Equations,,1,true
syllabus_nodes,CBSE Class 10,Science,"Acids, Bases and Salts",,2,true
syllabus_nodes,CBSE Class 10,Science,Metals and Non-metals,,3,true
syllabus_nodes,CBSE Class 10,Science,Carbon and its Compounds,,4,true
syllabus_nodes,CBSE Class 10,Science,Life Processes,,5,true
syllabus_nodes,CBSE Class 10,Science,Control and Coordination,,6,true
syllabus_nodes,CBSE Class 10,Science,How do Organisms Reproduce?,,7,true
syllabus_nodes,CBSE Class 10,Science,Heredity,,8,true
syllabus_nodes,CBSE Class 10,Science,Light – Reflection and Refraction,,9,true
syllabus_nodes,CBSE Class 10,Science,The Human Eye and the Colourful World,,10,true
syllabus_nodes,CBSE Class 10,Science,Electricity,,11,true
syllabus_nodes,CBSE Class 10,Science,Magnetic Effects of Electric Current,,12,true
syllabus_nodes,CBSE Class 10,Science,Our Environment,,13,true
knowledge_base,CBSE Class 11,Biology,Anatomy of Flowering Plants,11,,
knowledge_base,CBSE Class 11,Biology,Animal Kingdom,28,,
knowledge_base,CBSE Class 11,Biology,Biological Classification,26,,
knowledge_base,CBSE Class 11,Biology,Biomolecules,22,,
knowledge_base,CBSE Class 11,Biology,Body Fluids and Circulation,21,,
knowledge_base,CBSE Class 11,Biology,Breathing and Exchange of Gases,19,,
knowledge_base,CBSE Class 11,Biology,Cell Cycle and Cell Division,21,,
knowledge_base,CBSE Class 11,Biology,Cell: The Unit of Life,25,,
knowledge_base,CBSE Class 11,Biology,Chemical Coordination and Integration,21,,
knowledge_base,CBSE Class 11,Biology,Excretory Products and their Elimination,18,,
knowledge_base,CBSE Class 11,Biology,Locomotion and Movement,12,,
knowledge_base,CBSE Class 11,Biology,Morphology of Flowering Plants,21,,
knowledge_base,CBSE Class 11,Biology,Neural Control and Coordination,13,,
knowledge_base,CBSE Class 11,Biology,Photosynthesis in Higher Plants,32,,
knowledge_base,CBSE Class 11,Biology,Plant Growth and Development,20,,
knowledge_base,CBSE Class 11,Biology,Plant Kingdom,22,,
knowledge_base,CBSE Class 11,Biology,Respiration in Plants,19,,
knowledge_base,CBSE Class 11,Biology,Skeletal System,7,,
knowledge_base,CBSE Class 11,Biology,Structural Organisation in Animals,12,,
