class_folder,subject_folder,sub_path,filename,size_kb
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks101.pdf",1045
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks102.pdf",741
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks103.pdf",447
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks104.pdf",721
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks105.pdf",675
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks106.pdf",994
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks107.pdf",837
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks108.pdf",816
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks109.pdf",598
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks110.pdf",1271
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks111.pdf",1054
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks112.pdf",698
"10 NCRT","10 HINDI A","KRITHIKA 2/jhks1dd","jhks1ps.pdf",2103
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks101.pdf",1045
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks102.pdf",741
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks103.pdf",447
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks104.pdf",721
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks105.pdf",675
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks106.pdf",994
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks107.pdf",837
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks108.pdf",816
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks109.pdf",598
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks110.pdf",1271
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks111.pdf",1054
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks112.pdf",698
"10 NCRT","10 HINDI A","KSHITIJ 2","jhks1ps.pdf",2103
"10 NCRT","10 HINDI B","10 SPARSH","jhsp101.pdf",1323
"10 NCRT","10 HINDI B","10 SPARSH","jhsp102.pdf",1097
"10 NCRT","10 HINDI B","10 SPARSH","jhsp103.pdf",1183
"10 NCRT","10 HINDI B","10 SPARSH","jhsp104.pdf",1132
"10 NCRT","10 HINDI B","10 SPARSH","jhsp105.pdf",1011
"10 NCRT","10 HINDI B","10 SPARSH","jhsp106.pdf",1062
"10 NCRT","10 HINDI B","10 SPARSH","jhsp107.pdf",1247
"10 NCRT","10 HINDI B","10 SPARSH","jhsp108.pdf",2039
"10 NCRT","10 HINDI B","10 SPARSH","jhsp109.pdf",1362
"10 NCRT","10 HINDI B","10 SPARSH","jhsp110.pdf",1457
"10 NCRT","10 HINDI B","10 SPARSH","jhsp111.pdf",1342
"10 NCRT","10 HINDI B","10 SPARSH","jhsp112.pdf",1324
"10 NCRT","10 HINDI B","10 SPARSH","jhsp113.pdf",1432
"10 NCRT","10 HINDI B","10 SPARSH","jhsp114.pdf",1468
"10 NCRT","10 HINDI B","10 SPARSH","jhsp1ps.pdf",1829
"10 NCRT","10 HINDI B","SANCHAYAN","jhsy101.pdf",2201
"10 NCRT","10 HINDI B","SANCHAYAN","jhsy102.pdf",1875
"10 NCRT","10 HINDI B","SANCHAYAN","jhsy103.pdf",1771
"10 NCRT","10 HINDI B","SANCHAYAN","jhsy1lp.pdf",919
"10 NCRT","10 HINDI B","SANCHAYAN","jhsy1ps.pdf",1579
"10 NCRT","10 maths","","jemh101.pdf",1498
"10 NCRT","10 maths","","jemh102.pdf",1646
"10 NCRT","10 maths","","jemh103.pdf",2035
"10 NCRT","10 maths","","jemh104.pdf",1464
"10 NCRT","10 maths","","jemh105.pdf",2302
"10 NCRT","10 maths","","jemh106.pdf",2733
"10 NCRT","10 maths","","jemh107.pdf",2102
"10 NCRT","10 maths","","jemh108.pdf",2177
"10 NCRT","10 maths","","jemh109.pdf",1795
"10 NCRT","10 maths","","jemh110.pdf",1334
"10 NCRT","10 maths","","jemh111.pdf",1279
"10 NCRT","10 maths","","jemh112.pdf",1582
"10 NCRT","10 maths","","jemh113.pdf",2738
"10 NCRT","10 maths","","jemh114.pdf",1804
"10 NCRT","10 maths","","jemh1a1.pdf",1976
"10 NCRT","10 maths","","jemh1a2.pdf",1418
"10 NCRT","10 maths","","jemh1an.pdf",1524
"10 NCRT","10 maths","","jemh1ps.pdf",1923
"10 NCRT","10 SCIENCE","","jesc101.pdf",4063
"10 NCRT","10 SCIENCE","","jesc102.pdf",3865
"10 NCRT","10 SCIENCE","","jesc103.pdf",2823
"10 NCRT","10 SCIENCE","","jesc104.pdf",12129
"10 NCRT","10 SCIENCE","","jesc105.pdf",8810
"10 NCRT","10 SCIENCE","","jesc106.pdf",2322
"10 NCRT","10 SCIENCE","","jesc107.pdf",3962
"10 NCRT","10 SCIENCE","","jesc108.pdf",17696
"10 NCRT","10 SCIENCE","","jesc109.pdf",2680
"10 NCRT","10 SCIENCE","","jesc110.pdf",1684
"10 NCRT","10 SCIENCE","","jesc111.pdf",2534
"10 NCRT","10 SCIENCE","","jesc112.pdf",2163
"10 NCRT","10 SCIENCE","","jesc113.pdf",4096
"10 NCRT","10 SCIENCE","","jesc1an.pdf",806
"10 NCRT","10 SCIENCE","","jesc1ps.pdf",3348
"10 NCRT","10 social","ECONOMICS","jess201.pdf",2426
"10 NCRT","10 social","ECONOMICS","jess202.pdf",2976
"10 NCRT","10 social","ECONOMICS","jess203.pdf",3296
"10 NCRT","10 social","ECONOMICS","jess204.pdf",3500
"10 NCRT","10 social","ECONOMICS","jess205.pdf",3109
"10 NCRT","10 social","ECONOMICS","jess2ps.pdf",1842
"10 NCRT","10 social","GEOGRAPHY","jess101.pdf",1757
"10 NCRT","10 social","GEOGRAPHY","jess102.pdf",1548
"10 NCRT","10 social","GEOGRAPHY","jess103.pdf",1938
"10 NCRT","10 social","GEOGRAPHY","jess104.pdf",2198
"10 NCRT","10 social","GEOGRAPHY","jess105.pdf",2635
"10 NCRT","10 social","GEOGRAPHY","jess106.pdf",1605
"10 NCRT","10 social","GEOGRAPHY","jess107.pdf",2150
"10 NCRT","10 social","GEOGRAPHY","jess1a1.pdf",439
"10 NCRT","10 social","GEOGRAPHY","jess1ps.pdf",1526
"10 NCRT","10 social","HISTORY","jess301.pdf",5516
"10 NCRT","10 social","HISTORY","jess302.pdf",4938
"10 NCRT","10 social","HISTORY","jess303.pdf",5918
"10 NCRT","10 social","HISTORY","jess304.pdf",5874
"10 NCRT","10 social","HISTORY","jess305.pdf",5338
"10 NCRT","10 social","HISTORY","jess3ps.pdf",1906
"10 NCRT","10 social","POLITICS","jess401.pdf",1821
"10 NCRT","10 social","POLITICS","jess402.pdf",2633
"10 NCRT","10 social","POLITICS","jess403.pdf",2303
"10 NCRT","10 social","POLITICS","jess404.pdf",3472
"10 NCRT","10 social","POLITICS","jess405.pdf",2113
"10 NCRT","10 social","POLITICS","jess4ps.pdf",2066
"10 NCRT","ENGLISH","10  english first flight","chapter 1 Letter to God.pdf",2084
"10 NCRT","ENGLISH","10  english first flight","Chapter 2 Nelson Mandela Lond Walk to Freedom.pdf",2126
"10 NCRT","ENGLISH","10  english first flight","chapter 3 Two Stories about Flying.pdf",2270
"10 NCRT","ENGLISH","10  english first flight","Chapter 4 From the Dairy of Anne  Frank.pdf",1908
"10 NCRT","ENGLISH","10  english first flight","Chapter 5 Glimpses of India.pdf",2064
"10 NCRT","ENGLISH","10  english first flight","Chapter 6 Mijbil the Otter.pdf",1899
"10 NCRT","ENGLISH","10  english first flight","Chapter 7Madam Rides the Bus.pdf",2349
"10 NCRT","ENGLISH","10  english first flight","Chapter 8 The Sermon at Banares.pdf",1510
"10 NCRT","ENGLISH","10  english first flight","Chapter 9 The Proposal.pdf",2377
"10 NCRT","ENGLISH","10  english first flight","FIRST FLIGHT Text Book for class 10.pdf",1480
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp101.pdf",2590
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp102.pdf",2230
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp103.pdf",2431
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp104.pdf",2233
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp105.pdf",2303
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp106.pdf",2362
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp107.pdf",2693
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp108.pdf",2811
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp109.pdf",3981
"10 NCRT","ENGLISH","10 ENGLISH FOOTPRINT WITHOUT FEET","jefp1ps.pdf",1880
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe201.pdf",2475
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe202.pdf",2476
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe203.pdf",2431
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe204..pdf",2309
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe205.pdf",2804
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe206.pdf",3308
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe207.pdf",2905
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe208.pdf",2499
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe209..pdf",2998
"10 NCRT","ENGLISH","10 ENGLISH word and expression ii","jewe2ps.pdf",2073
"11 NCRT SC","accountancy ii","","keac201.pdf",3089
"11 NCRT SC","accountancy ii","","keac202.pdf",869
"11 NCRT SC","accountancy ii","","keac2ps.pdf",1047
"11 NCRT SC","ACCOUNTANCY","","ACC Chapter 01 Introduction to Accounting.pdf",2442
"11 NCRT SC","ACCOUNTANCY","","ACCOUNTANCY fINANCIAL ACCOUNTING  INDEX.pdf",1548
"11 NCRT SC","ACCOUNTANCY","","CHAPTER  2 Theory Base of Accounting.pdf",2136
"11 NCRT SC","ACCOUNTANCY","","Chapter 3 Recording of Transactions-I.pdf",3871
"11 NCRT SC","ACCOUNTANCY","","Chapter 4 Recording of Transactions-II.pdf",4892
"11 NCRT SC","ACCOUNTANCY","","Chapter 5 Bank Reconciliation Statement.pdf",1772
"11 NCRT SC","ACCOUNTANCY","","Chapter 6 Trial Balance and Rectification of Errors.pdf",3461
"11 NCRT SC","ACCOUNTANCY","","Chapter 7 Depreciation, Provisions and Reserves.pdf",3819
"11 NCRT SC","BIOLOGY","","kebo101.pdf",2210
"11 NCRT SC","BIOLOGY","","kebo102.pdf",3216
"11 NCRT SC","BIOLOGY","","kebo103.pdf",5059
"11 NCRT SC","BIOLOGY","","kebo104.pdf",6072
"11 NCRT SC","BIOLOGY","","kebo105.pdf",3351
"11 NCRT SC","BIOLOGY","","kebo106.pdf",1855
"11 NCRT SC","BIOLOGY","","kebo107.pdf",988
"11 NCRT SC","BIOLOGY","","kebo108.pdf",6821
"11 NCRT SC","BIOLOGY","","kebo109.pdf",1808
"11 NCRT SC","BIOLOGY","","kebo110.pdf",2430
"11 NCRT SC","BIOLOGY","","kebo111.pdf",2614
"11 NCRT SC","BIOLOGY","","kebo112.pdf",1613
"11 NCRT SC","BIOLOGY","","kebo113.pdf",1876
"11 NCRT SC","BIOLOGY","","kebo114.pdf",2003
"11 NCRT SC","BIOLOGY","","kebo115.pdf",3032
"11 NCRT SC","BIOLOGY","","kebo116.pdf",1730
"11 NCRT SC","BIOLOGY","","kebo117.pdf",4394
"11 NCRT SC","BIOLOGY","","kebo118.pdf",4153
"11 NCRT SC","BIOLOGY","","kebo119.pdf",2079
"11 NCRT SC","BIOLOGY","","kebo1ps.pdf",2882
"11 NCRT SC","BIOTECHNOLOGY","","kebt101.pdf",3323
"11 NCRT SC","BIOTECHNOLOGY","","kebt102.pdf",11873
"11 NCRT SC","BIOTECHNOLOGY","","kebt103.pdf",4881
"11 NCRT SC","BIOTECHNOLOGY","","kebt104.pdf",2434
"11 NCRT SC","BIOTECHNOLOGY","","kebt105.pdf",6038
"11 NCRT SC","BIOTECHNOLOGY","","kebt106.pdf",4918
"11 NCRT SC","BIOTECHNOLOGY","","kebt107.pdf",8316
"11 NCRT SC","BIOTECHNOLOGY","","kebt108.pdf",2585
"11 NCRT SC","BIOTECHNOLOGY","","kebt109.pdf",3098
"11 NCRT SC","BIOTECHNOLOGY","","kebt110.pdf",2013
"11 NCRT SC","BIOTECHNOLOGY","","kebt111.pdf",1627
"11 NCRT SC","BIOTECHNOLOGY","","kebt112.pdf",4568
"11 NCRT SC","BIOTECHNOLOGY","","kebt1ps.pdf",2150
"11 NCRT SC","BUSINESS STUDIES","","kebs101.pdf",1922
"11 NCRT SC","BUSINESS STUDIES","","kebs102.pdf",2353
"11 NCRT SC","BUSINESS STUDIES","","kebs103.pdf",1694
"11 NCRT SC","BUSINESS STUDIES","","kebs104.pdf",2627
"11 NCRT SC","BUSINESS STUDIES","","kebs105.pdf",1908
"11 NCRT SC","BUSINESS STUDIES","","kebs106.pdf",1408
"11 NCRT SC","BUSINESS STUDIES","","kebs107.pdf",1535
"11 NCRT SC","BUSINESS STUDIES","","kebs108.pdf",2158
"11 NCRT SC","BUSINESS STUDIES","","kebs109.pdf",1299
"11 NCRT SC","BUSINESS STUDIES","","kebs110.pdf",2371
"11 NCRT SC","BUSINESS STUDIES","","kebs111.pdf",3126
"11 NCRT SC","BUSINESS STUDIES","","kebs1ps.pdf",981
"11 NCRT SC","chemistry part 1","","kech101.pdf",3913
"11 NCRT SC","chemistry part 1","","kech102.pdf",5355
"11 NCRT SC","chemistry part 1","","kech103.pdf",3361
"11 NCRT SC","chemistry part 1","","kech104.pdf",5022
"11 NCRT SC","chemistry part 1","","kech105.pdf",5003
"11 NCRT SC","chemistry part 1","","kech106.pdf",5540
"11 NCRT SC","chemistry part 1","","kech1a1.pdf",1591
"11 NCRT SC","chemistry part 1","","kech1an.pdf",980
"11 NCRT SC","chemistry part 1","","kech1ps.pdf",2365
"11 NCRT SC","chemistry part 2","","kech201.pdf",1884
"11 NCRT SC","chemistry part 2","","kech202.pdf",4357
"11 NCRT SC","chemistry part 2","","kech203.pdf",3219
"11 NCRT SC","chemistry part 2","","kech2an.pdf",479
"11 NCRT SC","chemistry part 2","","kech2ps.pdf",1574
"11 NCRT SC","COMPUTER SCIENCE","","kecs101.pdf",2839
"11 NCRT SC","COMPUTER SCIENCE","","kecs102.pdf",2109
"11 NCRT SC","COMPUTER SCIENCE","","kecs103.pdf",2342
"11 NCRT SC","COMPUTER SCIENCE","","kecs104.pdf",3229
"11 NCRT SC","COMPUTER SCIENCE","","kecs105.pdf",3330
"11 NCRT SC","COMPUTER SCIENCE","","kecs106.pdf",2536
"11 NCRT SC","COMPUTER SCIENCE","","kecs107.pdf",2995
"11 NCRT SC","COMPUTER SCIENCE","","kecs108.pdf",1582
"11 NCRT SC","COMPUTER SCIENCE","","kecs109.pdf",1880
"11 NCRT SC","COMPUTER SCIENCE","","kecs110.pdf",2202
"11 NCRT SC","COMPUTER SCIENCE","","kecs111.pdf",2877
"11 NCRT SC","COMPUTER SCIENCE","","kecs1ps.pdf",2367
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec101.pdf",2183
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec102.pdf",2469
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec103.pdf",2851
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec104.pdf",2871
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec105.pdf",3049
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec106.pdf",4598
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec107.pdf",4217
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec108.pdf",2715
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec1gl.pdf",1168
"11 NCRT SC","ECONOMICS - ECONOMIC DEVELOPMENT","","keec1ps.pdf",2298
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest101.pdf",1270
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest102.pdf",1779
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest103.pdf",2114
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest104.pdf",2233
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest105.pdf",1352
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest106.pdf",1918
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest107.pdf",1173
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest108.pdf",1846
"11 NCRT SC","ECONOMICS 2 STATITICS FOR ECONOMICS","","kest1ps.pdf",1847
